156-PYMT-??|10
156-PYMT-MDS????|10
156-SPLTRX-CREW DISCOUNT-EATIN  |16 
156-SPLTRX-CREW DISCOUNT-TAKEOUT  |17
156-SPLTRX-CREW DISCOUNT-OTHER  |18
156-SPLTRX-CREW DISCOUNT-NULL  |19 
156-SPLTRX-GENERIC DISCOUNT-EATIN  |2
156-SPLTRX-GENERIC DISCOUNT-TAKEOUT |3
156-SPLTRX-GENERIC DISCOUNT-OTHER |4
156-SPLTRX-GENERIC DISCOUNT-NULL  |5
156-SPLTRX-MANAGER DISCOUNT-EATIN |32
156-SPLTRX-MANAGER DISCOUNT-TAKEOUT |33
156-SPLTRX-MANAGER DISCOUNT-OTHER |34
156-SPLTRX-MANAGER DISCOUNT-NULL |35
156-SPLTRX-REFUND-EATIN                       |64
156-SPLTRX-REFUND-TAKEOUT                       |65
156-SPLTRX-REFUND-NULL                       |66
156-SPLTRX-REFUND-OTHER                       |67
156-SPLTRX-SALE-EATIN                         |0
156-SPLTRX-SALE-TAKEOUT                         |1
156-SPLTRX-SALE-NULL                         |22
156-SPLTRX-SALE-OTHER                         |23
156-SPLTRX-WASTE-EATIN                         |8
156-SPLTRX-WASTE-TAKEOUT                       |9
156-SPLTRX-WASTE-NULL                         |10
156-SPLTRX-WASTE-OTHER                       |11
156-SPLTRX-PROMO CREW DISCOUNT-EATIN  |16
156-SPLTRX-PROMO CREW DISCOUNT-TAKEOUT |17
156-SPLTRX-PROMO CREW DISCOUNT-OTHER  |18
156-SPLTRX-PROMO CREW DISCOUNT-NULL |19
156-SPLTRX-PROMO GENERIC DISCOUNT-EATIN  |2
156-SPLTRX-PROMO GENERIC DISCOUNT-TAKEOUT |3
156-SPLTRX-PROMO GENERIC DISCOUNT-OTHER  |4
156-SPLTRX-PROMO GENERIC DISCOUNT-NULL |5
156-SPLTRX-PROMO MANAGER DISCOUNT-EATIN  |32
156-SPLTRX-PROMO MANAGER DISCOUNT-TAKEOUT |33
156-SPLTRX-PROMO MANAGER DISCOUNT-OTHER  |34
156-SPLTRX-PROMO MANAGER DISCOUNT-NULL |35
